,burger,fries,salad,shake,hour,store_1.0,store_2.0,store_3.0,store_4.0,store_5.0,store_6.0,store_7.0,store_8.0,store_9.0,predict_cluster_kmeans,store
123,0,1,1,0,12,1,0,0,0,0,0,0,0,0,2,1.0
124,0,2,2,0,11,0,0,0,0,0,0,0,1,0,2,8.0
125,2,2,0,1,23,0,1,0,0,0,0,0,0,0,0,2.0
126,0,1,1,0,12,1,0,0,0,0,0,0,0,0,2,1.0
127,0,1,1,0,11,0,0,1,0,0,0,0,0,0,2,3.0
128,2,3,1,2,20,0,0,0,1,0,0,0,0,0,0,4.0
129,4,4,0,4,18,0,0,0,0,0,0,0,0,1,0,9.0
130,0,1,1,0,12,0,0,1,0,0,0,0,0,0,2,3.0
131,5,5,0,5,18,0,0,0,0,0,0,1,0,0,0,7.0
132,1,1,0,1,13,0,0,0,0,0,0,0,1,0,2,8.0
133,4,4,0,4,17,0,0,0,0,0,0,0,1,0,0,8.0
134,3,3,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
135,3,3,0,3,17,0,0,0,0,0,0,0,0,1,0,9.0
136,0,2,2,0,13,0,0,0,0,1,0,0,0,0,2,5.0
137,1,4,3,1,12,0,0,0,1,0,0,0,0,0,2,4.0
138,0,3,3,0,12,1,0,0,0,0,0,0,0,0,2,1.0
139,5,5,0,5,19,0,0,0,1,0,0,0,0,0,0,4.0
140,4,4,0,3,18,0,0,0,0,1,0,0,0,0,0,5.0
141,1,1,0,0,00,1,0,0,0,0,0,0,0,0,1,1.0
142,1,1,0,0,23,0,0,0,0,0,0,0,1,0,0,8.0
143,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
144,5,5,0,5,18,0,0,0,0,0,1,0,0,0,0,6.0
145,0,3,3,0,11,1,0,0,0,0,0,0,0,0,2,1.0
146,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
147,4,4,0,4,18,0,0,0,1,0,0,0,0,0,0,4.0
148,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
149,2,2,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
150,3,3,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
151,3,3,0,3,17,0,0,0,0,0,0,1,0,0,0,7.0
152,0,1,1,0,12,0,0,1,0,0,0,0,0,0,2,3.0
153,0,4,4,0,12,0,0,0,0,0,0,0,1,0,2,8.0
154,0,3,3,0,13,0,0,1,0,0,0,0,0,0,2,3.0
155,1,1,0,1,11,0,0,0,0,1,0,0,0,0,2,5.0
156,3,3,0,3,17,0,0,0,0,0,0,1,0,0,0,7.0
157,4,4,0,4,20,0,0,0,0,0,0,0,0,1,0,9.0
158,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
159,1,1,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
160,5,5,0,2,00,0,0,0,0,0,1,0,0,0,1,6.0
161,0,2,2,0,11,0,0,1,0,0,0,0,0,0,2,3.0
162,1,1,0,0,01,0,0,0,0,0,1,0,0,0,1,6.0
163,0,1,1,0,13,0,0,1,0,0,0,0,0,0,2,3.0
164,1,1,0,1,17,0,0,0,0,0,0,0,0,1,0,9.0
165,2,2,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
166,2,2,0,2,20,0,0,0,1,0,0,0,0,0,0,4.0
167,4,4,0,4,19,0,0,0,1,0,0,0,0,0,0,4.0
168,2,2,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
169,1,2,1,0,00,0,0,0,0,0,1,0,0,0,1,6.0
170,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,1.0
171,2,2,0,2,17,0,0,0,1,0,0,0,0,0,0,4.0
172,5,5,0,5,19,0,0,0,1,0,0,0,0,0,0,4.0
173,2,2,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
174,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
175,0,4,4,0,12,0,0,0,0,0,0,0,1,0,2,8.0
176,5,5,0,2,00,0,0,0,0,0,1,0,0,0,1,6.0
177,2,2,0,0,23,0,1,0,0,0,0,0,0,0,0,2.0
178,3,3,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
179,1,1,0,0,01,0,1,0,0,0,0,0,0,0,1,2.0
180,2,3,1,1,16,0,0,0,0,0,0,0,0,1,0,9.0
181,3,3,0,3,19,0,0,0,0,0,0,0,0,1,0,9.0
182,2,2,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
183,1,3,2,0,13,0,0,0,0,0,0,0,1,0,2,8.0
184,0,3,3,0,13,0,0,1,0,0,0,0,0,0,2,3.0
185,5,5,0,5,16,0,0,0,1,0,0,0,0,0,0,4.0
186,5,5,0,4,18,0,0,0,1,0,0,0,0,0,0,4.0
187,0,3,3,0,12,1,0,0,0,0,0,0,0,0,2,1.0
188,0,1,1,0,00,0,0,0,0,0,1,0,0,0,1,6.0
189,1,1,0,0,23,0,1,0,0,0,0,0,0,0,0,2.0
190,4,4,0,4,17,0,0,0,0,0,0,1,0,0,0,7.0
191,2,2,0,1,23,0,0,0,0,0,1,0,0,0,0,6.0
192,0,3,3,0,15,0,1,0,0,0,0,0,0,0,2,2.0
193,0,1,1,0,12,0,0,0,0,0,0,0,1,0,2,8.0
194,3,3,0,3,18,0,0,0,0,0,0,1,0,0,0,7.0
195,0,1,1,0,11,0,0,0,0,0,1,0,0,0,2,6.0
196,3,3,0,3,19,0,0,0,0,0,0,1,0,0,0,7.0
197,0,1,1,0,13,0,0,0,0,0,0,0,1,0,2,8.0
198,0,1,1,0,12,1,0,0,0,0,0,0,0,0,2,1.0
199,0,3,3,0,12,0,0,0,1,0,0,0,0,0,2,4.0
200,1,1,0,1,01,0,1,0,0,0,0,0,0,0,1,2.0
201,2,4,2,2,18,0,0,0,0,0,0,0,0,1,0,9.0
202,3,3,0,3,18,0,0,0,0,0,0,1,0,0,0,7.0
203,0,3,3,0,11,1,0,0,0,0,0,0,0,0,2,1.0
204,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
205,2,2,0,2,01,0,1,0,0,0,0,0,0,0,1,2.0
206,3,3,0,3,18,0,0,0,0,0,0,1,0,0,0,7.0
207,1,1,0,1,19,0,0,0,0,0,0,0,0,1,0,9.0
208,0,2,2,0,11,0,0,1,0,0,0,0,0,0,2,3.0
209,2,2,0,1,23,0,1,0,0,0,0,0,0,0,0,2.0
210,1,2,1,1,11,1,0,0,0,0,0,0,0,0,2,1.0
211,1,4,3,0,12,1,0,0,0,0,0,0,0,0,2,1.0
212,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
213,1,1,0,0,23,0,0,0,0,0,1,0,0,0,0,6.0
214,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
215,1,1,0,0,00,1,0,0,0,0,0,0,0,0,1,1.0
216,0,3,3,0,17,0,0,0,0,0,1,0,0,0,2,6.0
217,2,2,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
218,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
219,2,2,0,2,18,0,0,0,0,0,0,0,1,0,0,8.0
220,2,2,0,2,16,0,0,0,0,1,0,0,0,0,0,5.0
221,0,5,5,0,12,0,0,0,0,0,0,0,1,0,2,8.0
222,4,4,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
223,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
224,1,1,0,0,00,0,0,0,1,0,0,0,0,0,1,4.0
225,0,1,1,0,13,0,0,0,0,0,0,0,0,1,2,9.0
226,1,1,0,0,23,0,0,0,0,0,0,0,1,0,0,8.0
227,2,2,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
228,1,1,0,1,20,0,0,0,1,0,0,0,0,0,0,4.0
229,1,1,0,1,20,0,0,0,0,0,0,0,0,1,0,9.0
230,1,3,2,1,13,1,0,0,0,0,0,0,0,0,2,1.0
231,3,4,1,3,19,0,0,0,0,0,0,1,0,0,0,7.0
232,0,1,1,0,11,0,0,0,0,0,0,0,1,0,2,8.0
233,1,1,0,1,00,0,1,0,0,0,0,0,0,0,1,2.0
234,1,1,0,0,01,0,0,0,0,0,1,0,0,0,1,6.0
235,4,4,0,4,18,0,0,0,0,0,0,0,0,1,0,9.0
236,2,2,0,2,19,0,0,0,0,0,0,1,0,0,0,7.0
237,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
238,2,2,0,1,23,0,1,0,0,0,0,0,0,0,0,2.0
239,0,2,2,0,11,0,0,0,0,0,0,0,0,1,2,9.0
240,1,1,0,0,00,0,0,0,0,0,0,1,0,0,1,7.0
241,1,3,2,1,12,1,0,0,0,0,0,0,0,0,2,1.0
242,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
243,0,1,1,0,13,0,0,1,0,0,0,0,0,0,2,3.0
244,4,4,0,4,18,0,0,0,0,0,0,0,1,0,0,8.0
245,0,1,1,0,12,1,0,0,0,0,0,0,0,0,2,1.0
246,4,4,0,4,17,0,0,0,1,0,0,0,0,0,0,4.0
247,0,1,1,0,22,0,0,0,0,1,0,0,0,0,0,5.0
248,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
249,0,1,1,0,12,1,0,0,0,0,0,0,0,0,2,1.0
250,3,3,0,2,19,0,0,0,0,0,0,1,0,0,0,7.0
251,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
252,2,2,0,0,01,0,1,0,0,0,0,0,0,0,1,2.0
253,0,1,1,0,12,0,1,0,0,0,0,0,0,0,2,2.0
254,1,5,4,1,12,0,0,1,0,0,0,0,0,0,2,3.0
255,0,3,3,0,12,0,0,0,0,0,0,0,1,0,2,8.0
256,0,3,3,0,14,0,0,0,0,0,0,0,1,0,2,8.0
257,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
258,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
259,4,4,0,4,16,0,0,0,0,0,0,0,0,1,0,9.0
260,4,4,0,4,18,0,0,0,0,1,0,0,0,0,0,5.0
261,2,2,0,0,00,0,0,0,0,0,0,0,1,0,1,8.0
262,0,2,2,0,12,0,0,0,0,1,0,0,0,0,2,5.0
263,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
264,0,3,3,0,12,1,0,0,0,0,0,0,0,0,2,1.0
265,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
266,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
267,3,4,1,3,18,0,0,0,1,0,0,0,0,0,0,4.0
268,2,2,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
269,1,3,2,0,12,0,0,0,0,1,0,0,0,0,2,5.0
270,0,1,1,0,11,0,0,0,0,0,0,0,1,0,2,8.0
271,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
272,1,1,0,1,18,0,0,0,0,0,0,1,0,0,0,7.0
273,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
274,2,2,0,1,14,0,0,0,0,0,0,0,1,0,2,8.0
275,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
276,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
277,5,5,0,5,18,1,0,0,0,0,0,0,0,0,0,1.0
278,2,2,0,1,01,0,0,0,0,0,1,0,0,0,1,6.0
279,2,2,0,1,00,0,1,0,0,0,0,0,0,0,1,2.0
280,4,5,1,4,18,0,0,0,0,0,0,0,0,1,0,9.0
281,1,3,2,0,12,0,0,0,0,0,0,0,1,0,2,8.0
282,0,3,3,0,12,0,0,0,0,0,1,0,0,0,2,6.0
283,3,3,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
284,0,3,3,0,12,0,0,1,0,0,0,0,0,0,2,3.0
285,1,1,0,0,00,0,0,0,1,0,0,0,0,0,1,4.0
286,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
287,0,3,3,0,14,0,0,0,0,0,0,0,1,0,2,8.0
288,5,5,0,5,18,0,0,0,0,0,0,0,0,1,0,9.0
289,0,3,3,0,12,0,0,1,0,0,0,0,0,0,2,3.0
290,1,1,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
291,1,1,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
292,4,4,0,4,17,0,0,0,0,0,0,1,0,0,0,7.0
293,0,2,2,0,13,1,0,0,0,0,0,0,0,0,2,1.0
294,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
295,4,4,0,3,19,0,0,0,1,0,0,0,0,0,0,4.0
296,3,3,0,3,16,0,0,0,0,0,0,0,0,1,0,9.0
297,5,5,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
298,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
299,5,5,0,4,18,0,0,0,1,0,0,0,0,0,0,4.0
300,5,5,0,5,17,0,0,0,0,0,0,1,0,0,0,7.0
301,3,3,0,3,18,1,0,0,0,0,0,0,0,0,0,1.0
302,2,2,0,0,11,1,0,0,0,0,0,0,0,0,2,1.0
303,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
304,1,1,0,1,01,0,1,0,0,0,0,0,0,0,1,2.0
305,1,1,0,0,23,0,0,0,0,0,1,0,0,0,0,6.0
306,5,5,0,5,17,0,0,0,0,0,0,0,0,1,0,9.0
307,1,2,1,0,11,0,0,0,0,1,0,0,0,0,2,5.0
308,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
309,0,1,1,0,13,0,0,0,0,0,0,0,1,0,2,8.0
310,4,4,0,4,18,0,0,0,0,0,0,0,0,1,0,9.0
311,4,4,0,3,20,0,0,1,0,0,0,0,0,0,0,3.0
312,4,4,0,4,17,0,0,0,1,0,0,0,0,0,0,4.0
313,1,5,4,0,13,1,0,0,0,0,0,0,0,0,2,1.0
314,2,2,0,1,00,0,0,0,0,0,0,0,0,1,1,9.0
315,0,1,1,0,12,0,0,0,0,0,0,0,1,0,2,8.0
316,4,4,0,4,17,0,0,0,1,0,0,0,0,0,0,4.0
317,1,1,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
318,0,1,1,0,18,1,0,0,0,0,0,0,0,0,0,1.0
319,2,2,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
320,4,4,0,4,17,0,0,0,0,0,0,0,0,1,0,9.0
321,0,1,1,0,11,0,0,0,0,1,0,0,0,0,2,5.0
322,5,5,0,5,17,0,0,0,0,0,0,1,0,0,0,7.0
323,2,2,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
324,1,1,0,0,01,0,1,0,0,0,0,0,0,0,1,2.0
325,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
326,4,4,0,4,18,0,0,0,1,0,0,0,0,0,0,4.0
327,0,1,1,0,13,0,0,0,0,0,0,0,1,0,2,8.0
328,0,2,2,0,11,0,0,0,0,1,0,0,0,0,2,5.0
329,1,1,0,1,12,0,0,1,0,0,0,0,0,0,2,3.0
330,0,3,3,0,13,0,0,0,0,0,0,0,0,1,2,9.0
331,1,1,0,1,17,0,0,0,0,0,0,1,0,0,0,7.0
332,4,4,0,4,17,0,0,0,0,0,0,0,0,1,0,9.0
333,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
334,0,1,1,0,12,1,0,0,0,0,0,0,0,0,2,1.0
335,1,1,0,0,23,0,1,0,0,0,0,0,0,0,0,2.0
336,0,1,1,0,13,0,0,1,0,0,0,0,0,0,2,3.0
337,3,3,0,3,18,0,0,0,0,1,0,0,0,0,0,5.0
338,3,3,0,3,18,0,0,0,1,0,0,0,0,0,0,4.0
339,0,3,3,0,11,0,0,0,0,1,0,0,0,0,2,5.0
340,0,3,3,0,11,0,0,0,0,1,0,0,0,0,2,5.0
341,0,2,2,0,13,1,0,0,0,0,0,0,0,0,2,1.0
342,0,1,1,0,12,0,0,0,0,0,1,0,0,0,2,6.0
343,4,4,0,4,19,0,0,0,0,0,0,0,0,1,0,9.0
344,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
345,0,5,5,0,12,1,0,0,0,0,0,0,0,0,2,1.0
346,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
347,0,4,4,0,14,0,1,0,0,0,0,0,0,0,2,2.0
348,4,4,0,1,00,0,0,0,0,0,0,1,0,0,1,7.0
349,3,4,1,3,18,0,0,0,1,0,0,0,0,0,0,4.0
350,1,2,1,0,00,0,1,0,0,0,0,0,0,0,1,2.0
351,1,1,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
352,2,2,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
353,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
354,3,3,0,3,17,0,0,0,1,0,0,0,0,0,0,4.0
355,1,2,1,1,13,0,0,0,0,0,0,1,0,0,2,7.0
356,4,4,0,4,18,0,0,0,0,0,0,0,0,1,0,9.0
357,4,4,0,4,20,0,0,0,0,0,0,1,0,0,0,7.0
358,0,1,1,0,12,0,0,0,0,1,0,0,0,0,2,5.0
359,3,4,1,2,19,0,0,0,0,0,0,0,0,1,0,9.0
360,3,3,0,3,18,0,0,0,0,0,0,1,0,0,0,7.0
361,0,2,2,0,11,0,0,1,0,0,0,0,0,0,2,3.0
362,4,4,0,3,18,0,0,0,0,0,0,0,0,1,0,9.0
363,1,1,0,0,23,0,0,0,0,0,0,0,0,1,0,9.0
364,2,2,0,0,12,0,0,1,0,0,0,0,0,0,2,3.0
365,1,4,3,1,14,1,0,0,0,0,0,0,0,0,2,1.0
366,0,1,1,0,13,1,0,0,0,0,0,0,0,0,2,1.0
367,0,2,2,0,12,0,0,0,0,1,0,0,0,0,2,5.0
368,1,1,0,0,18,0,0,0,1,0,0,0,0,0,0,4.0
369,1,1,0,0,01,0,0,0,0,0,1,0,0,0,1,6.0
370,0,1,1,0,12,1,0,0,0,0,0,0,0,0,2,1.0
371,4,4,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
372,2,2,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
373,3,3,0,3,18,0,0,0,0,0,0,1,0,0,0,7.0
374,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,1.0
375,5,5,0,5,19,0,0,0,0,0,0,1,0,0,0,7.0
376,0,1,1,0,11,0,0,0,0,0,0,0,1,0,2,8.0
377,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
378,3,4,1,3,19,0,0,0,0,0,0,0,0,1,0,9.0
379,0,2,2,0,13,0,0,0,0,0,0,0,1,0,2,8.0
380,2,2,0,0,01,0,0,0,0,0,1,0,0,0,1,6.0
381,5,5,0,5,17,0,0,0,0,0,0,0,0,1,0,9.0
382,5,5,0,4,19,0,0,0,0,0,0,0,1,0,0,8.0
383,0,1,1,0,11,0,0,1,0,0,0,0,0,0,2,3.0
